
libro,autor,precio,editorial,category,opinions
Arsene Lupin la Aguja Hueca,$ 25.000,Editorial blanco y negro sas,Editorial blanco y negro sas,Policiaca,-1
Arsene Lupin la Aguja Hueca,$ 25.000,Editorial blanco y negro sas,Editorial blanco y negro sas,Policiaca,-1
Perfectos Mentirosos 2,$ 47.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,13 opiniones
Perfectos Mentirosos 2,$ 47.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,13 opiniones
Perfectos Mentirosos 1,$ 49.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,12 opiniones
Perfectos Mentirosos 1,$ 49.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,12 opiniones
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,$ 140.000,-1,-1,-1,-1
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,$ 140.000,-1,-1,-1,-1
El silencio de la escafandra,$ 40.000,Calixta editores,Calixta editores,-1,-1
El silencio de la escafandra,$ 40.000,Calixta editores,Calixta editores,-1,-1
El Actor,$ 47.000,Urano,Urano,Psicología,1 opiniones
El Actor,$ 47.000,Urano,Urano,Psicología,1 opiniones
Maniático engendro,$ 28.000,Calixta editores,Calixta editores,-1,-1
Maniático engendro,$ 28.000,Calixta editores,Calixta editores,-1,-1
Espiral,$ 25.000,-1,-1,-1,-1
Espiral,$ 25.000,-1,-1,-1,-1
Las Verdades que Sostenemos:,$ 49.000,Philomel books,Philomel books,-1,1 opiniones
Las Verdades que Sostenemos:,$ 49.000,Philomel books,Philomel books,-1,1 opiniones
Melómanos: Historias de una Obsesión,$ 39.000,Penguin random house,Penguin random house,Música,-1
Melómanos: Historias de una Obsesión,$ 39.000,Penguin random house,Penguin random house,Música,-1
EL GRAN PLAN,$ 45.000,Conecta,Conecta,-1,-1
EL GRAN PLAN,$ 45.000,Conecta,Conecta,-1,-1
Esquizofrenia,$ 38.000,Calixta editores,Calixta editores,-1,-1
Esquizofrenia,$ 38.000,Calixta editores,Calixta editores,-1,-1
VASILI GROSSMAN Y EL SIGLO SOVIETICO,$ 79.000,Critica,Critica,Historia,-1
VASILI GROSSMAN Y EL SIGLO SOVIETICO,$ 79.000,Critica,Critica,Historia,-1
Joe Biden,$ 45.000,Grupo planeta,Grupo planeta,Libros de biografías y autobiografías,3 opiniones
Joe Biden,$ 45.000,Grupo planeta,Grupo planeta,Libros de biografías y autobiografías,3 opiniones
El Libro del Autocuidado,$ 45.000,Diana,Diana,Autoayuda,-1
El Libro del Autocuidado,$ 45.000,Diana,Diana,Autoayuda,-1
Tiempo de Mujeres II Hijas de una Nueva era,$ 55.000,Planeta,Planeta,Literatura universal,-1
Tiempo de Mujeres II Hijas de una Nueva era,$ 55.000,Planeta,Planeta,Literatura universal,-1
#AmigaDateCuenta presenta: #TuBarrioTeRespalda,$ 59.000,Planeta,Planeta,Actualidad,-1
#AmigaDateCuenta presenta: #TuBarrioTeRespalda,$ 59.000,Planeta,Planeta,Actualidad,-1
FUNDAMENTOS DE FILOSOFIA (NOBEL),$ 32.000,Debols!llo,Debols!llo,-1,-1
FUNDAMENTOS DE FILOSOFIA (NOBEL),$ 32.000,Debols!llo,Debols!llo,-1,-1
TU EN MI VIDA LOCA,$ 41.000,Altea,Altea,-1,-1
TU EN MI VIDA LOCA,$ 41.000,Altea,Altea,-1,-1
Volver la vista atras,$ 59.000,Alfaguara,Alfaguara,Literatura contemporánea,3 opiniones
Volver la vista atras,$ 59.000,Alfaguara,Alfaguara,Literatura contemporánea,3 opiniones
Gambito de Dama,$ 49.000,Alfaguara,Alfaguara,Libros de literatura,3 opiniones
Gambito de Dama,$ 49.000,Alfaguara,Alfaguara,Libros de literatura,3 opiniones
Como no ser una Adolescente Desastrosa ,$ 41.000,Blok,Blok,Juvenil,86 opiniones
Como no ser una Adolescente Desastrosa ,$ 41.000,Blok,Blok,Juvenil,86 opiniones
Yo soy Sofia Castro,$ 43.000,Montena,Montena,-1,82 opiniones
Yo soy Sofia Castro,$ 43.000,Montena,Montena,-1,82 opiniones
ALARGA TU ESPERANZA DE VIDA,$ 52.000,Grijalbo,Grijalbo,-1,-1
ALARGA TU ESPERANZA DE VIDA,$ 52.000,Grijalbo,Grijalbo,-1,-1
EL EXTRANJERO,$ 40.000,Literatura random house,Literatura random house,Novela,-1
EL EXTRANJERO,$ 40.000,Literatura random house,Literatura random house,Novela,-1
Un Buen Rato,$ 69.000,Chic,Chic,Undefined,-1
Un Buen Rato,$ 69.000,Chic,Chic,Undefined,-1
SOÑEMOS JUNTOS,$ 39.000,Plaza & janes,Plaza & janes,-1,8 opiniones
SOÑEMOS JUNTOS,$ 39.000,Plaza & janes,Plaza & janes,-1,8 opiniones
7 ESTRATEGIAS PARA ALCANZAR LA RIQUEZA Y FELICIDAD,$ 43.000,Taller del exito,Taller del exito,Negocios,-1
7 ESTRATEGIAS PARA ALCANZAR LA RIQUEZA Y FELICIDAD,$ 43.000,Taller del exito,Taller del exito,Negocios,-1
La biología del presente,$ 45.000,Diana,Diana,Autoayuda,1 opiniones
La biología del presente,$ 45.000,Diana,Diana,Autoayuda,1 opiniones
CONSTRUYENDO SOBRE CIMIENTOS FIRMES,$ 51.000,Taller del exito,Taller del exito,-1,-1
CONSTRUYENDO SOBRE CIMIENTOS FIRMES,$ 51.000,Taller del exito,Taller del exito,-1,-1
Cumbiana,$ 52.000,Planeta,Planeta,Música folclórica y tradicional,6 opiniones
Cumbiana,$ 52.000,Planeta,Planeta,Música folclórica y tradicional,6 opiniones
Mujeres del Alma mía,$ 45.000,Penguin random house,Penguin random house,Latinoamericana,26 opiniones
Mujeres del Alma mía,$ 45.000,Penguin random house,Penguin random house,Latinoamericana,26 opiniones
El Club del Crimen de los Jueves,$ 54.000,Espasa,Espasa,-1,1 opiniones
El Club del Crimen de los Jueves,$ 54.000,Espasa,Espasa,-1,1 opiniones
LA CAIDA (NOBEL),$ 32.000,Debols!llo,Debols!llo,-1,-1
LA CAIDA (NOBEL),$ 32.000,Debols!llo,Debols!llo,-1,-1
THE PROM,$ 42.000,Nube de tinta,Nube de tinta,-1,-1
THE PROM,$ 42.000,Nube de tinta,Nube de tinta,-1,-1
Cambiemos de vía,$ 42.000,Paidos,Paidos,Filosofía,-1
Cambiemos de vía,$ 42.000,Paidos,Paidos,Filosofía,-1
La Gemela,$ 49.000,Grupo planeta,Grupo planeta,Juvenil,-1
La Gemela,$ 49.000,Grupo planeta,Grupo planeta,Juvenil,-1
Astropoets: Tu Guia del Zodiaco,$ 41.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),No ficción,1 opiniones
Astropoets: Tu Guia del Zodiaco,$ 41.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),No ficción,1 opiniones
Siete Días de Pasión,$ 45.000,Esencia,Esencia,Erótica,-1
Siete Días de Pasión,$ 45.000,Esencia,Esencia,Erótica,-1
La casa infernal,$ 55.000,Minotauro,Minotauro,Terror,-1
La casa infernal,$ 55.000,Minotauro,Minotauro,Terror,-1
VIDA DESPUES DE LA MUERTE,$ 45.000,Ediciones b,Ediciones b,No ficción,33 opiniones
VIDA DESPUES DE LA MUERTE,$ 45.000,Ediciones b,Ediciones b,No ficción,33 opiniones
Aquitania,$ 49.000,Planeta,Planeta,Novela histórica,2 opiniones
Aquitania,$ 49.000,Planeta,Planeta,Novela histórica,2 opiniones
¿Por qué Todos Saben Inglés Menos yo?,$ 31.200,Grupo sin fronteras sas,Grupo sin fronteras sas,Idiomas,41 opiniones
¿Por qué Todos Saben Inglés Menos yo?,$ 31.200,Grupo sin fronteras sas,Grupo sin fronteras sas,Idiomas,41 opiniones
ALGUNA VEZ ESTUVE MUERTO,$ 40.000,Alfaguara,Alfaguara,-1,-1
ALGUNA VEZ ESTUVE MUERTO,$ 40.000,Alfaguara,Alfaguara,-1,-1
LAS INSEPARABLES,$ 45.000,Lumen,Lumen,-1,-1
LAS INSEPARABLES,$ 45.000,Lumen,Lumen,-1,-1
Mindfulness Para Líderes,$ 45.000,Paidos,Paidos,Empresa,-1
Mindfulness Para Líderes,$ 45.000,Paidos,Paidos,Empresa,-1
EL HOMBRE QUE NO FUE JUEVES,$ 35.000,Debols!llo,Debols!llo,-1,-1
EL HOMBRE QUE NO FUE JUEVES,$ 35.000,Debols!llo,Debols!llo,-1,-1
