libro,autor,precio,editorial,category,opinions
COMO SALIR DEL CLUB DE LOS FRACASADOS,Martínez  regina,$ 41.000,Grijalbo,-1,-1
Dormir en un mar de Estrellas,Christopher paolini,$ 85.000,Umbriel,Ciencia ficción,-1
Dormir en un mar de Estrellas,Christopher paolini,$ 85.000,Umbriel,Ciencia ficción,-1
Simplemente Charli,D'amelio  charli,$ 41.000,Penguin random house g.e. (españa),Undefined,2 opiniones
Simplemente Charli,D'amelio  charli,$ 41.000,Penguin random house g.e. (españa),Undefined,2 opiniones
La Revolucion Interior,Cuellar b.  andrea,$ 44.000,Grijalbo,No ficción,-1
La Revolucion Interior,Cuellar b.  andrea,$ 44.000,Grijalbo,No ficción,-1
Piensa Como un Monje,Jay shetty,$ 49.000,Penguin random house,Autoayuda,3 opiniones
Piensa Como un Monje,Jay shetty,$ 49.000,Penguin random house,Autoayuda,3 opiniones
ROMPELA,Mora  carlos,$ 45.000,Ediciones b,-1,-1
ROMPELA,Mora  carlos,$ 45.000,Ediciones b,-1,-1
Arsene Lupin la Aguja Hueca,Maurice leblanc,$ 25.000,Editorial blanco y negro sas,Policiaca,-1
Arsene Lupin la Aguja Hueca,Maurice leblanc,$ 25.000,Editorial blanco y negro sas,Policiaca,-1
Perfectos Mentirosos 2,Mirez  alex,$ 47.000,Penguin random house g.e. (españa),Undefined,14 opiniones
Perfectos Mentirosos 2,Mirez  alex,$ 47.000,Penguin random house g.e. (españa),Undefined,14 opiniones
Perfectos Mentirosos 1,Mirez  alex,$ 49.000,Penguin random house g.e. (españa),Undefined,12 opiniones
Perfectos Mentirosos 1,Mirez  alex,$ 49.000,Penguin random house g.e. (españa),Undefined,12 opiniones
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,Lucila rosa mejía londoño,$ 140.000,-1,-1,-1
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,Lucila rosa mejía londoño,$ 140.000,-1,-1,-1
El silencio de la escafandra,Gustavo devoz,$ 40.000,Calixta editores,-1,-1
El silencio de la escafandra,Gustavo devoz,$ 40.000,Calixta editores,-1,-1
Todos los domingos son el fin del mundo,Harold trompetero,$ 33.000,E-ditorial 531,-1,-1
Todos los domingos son el fin del mundo,Harold trompetero,$ 33.000,E-ditorial 531,-1,-1
El Actor,Miguel ruiz,$ 47.000,Urano,Psicología,1 opiniones
El Actor,Miguel ruiz,$ 47.000,Urano,Psicología,1 opiniones
Maniático engendro,Marco cala,$ 28.000,Calixta editores,-1,1 opiniones
Maniático engendro,Marco cala,$ 28.000,Calixta editores,-1,1 opiniones
Espiral,Harold trompetero,$ 25.000,-1,-1,-1
Espiral,Harold trompetero,$ 25.000,-1,-1,-1
Las Verdades que Sostenemos:,Kamala harris,$ 49.000,Philomel books,-1,1 opiniones
Las Verdades que Sostenemos:,Kamala harris,$ 49.000,Philomel books,-1,1 opiniones
Melómanos: Historias de una Obsesión,Jacobo celnik,$ 39.000,Penguin random house,Música,-1
Melómanos: Historias de una Obsesión,Jacobo celnik,$ 39.000,Penguin random house,Música,-1
EL GRAN PLAN,Michlowicz  mike,$ 45.000,Conecta,-1,-1
EL GRAN PLAN,Michlowicz  mike,$ 45.000,Conecta,-1,-1
Esquizofrenia,Javier castellanos,$ 38.000,Calixta editores,-1,-1
Esquizofrenia,Javier castellanos,$ 38.000,Calixta editores,-1,-1
VASILI GROSSMAN Y EL SIGLO SOVIETICO,Alexandra popoff,$ 79.000,Critica,Historia,-1
VASILI GROSSMAN Y EL SIGLO SOVIETICO,Alexandra popoff,$ 79.000,Critica,Historia,-1
LA MIGRACIÓN INTRARREGIONAL EN AMÉRICA LATINA SOCIEDAD  LEGISLACIÓN Y DESAFÍOS EN UN MUNDO COMPLEJO,Colección grupos de trabajo,$ 80.000,Loreto correa vera,-1,-1
LA MIGRACIÓN INTRARREGIONAL EN AMÉRICA LATINA SOCIEDAD  LEGISLACIÓN Y DESAFÍOS EN UN MUNDO COMPLEJO,Colección grupos de trabajo,$ 80.000,Loreto correa vera,-1,-1
Joe Biden,Evan osnos,$ 45.000,Grupo planeta,Libros de biografías y autobiografías,3 opiniones
Joe Biden,Evan osnos,$ 45.000,Grupo planeta,Libros de biografías y autobiografías,3 opiniones
El Libro del Autocuidado,Jennifer ashton,$ 45.000,Diana,Autoayuda,-1
El Libro del Autocuidado,Jennifer ashton,$ 45.000,Diana,Autoayuda,-1
Tiempo de Mujeres II Hijas de una Nueva era,Carmen  korn,$ 55.000,Planeta,Literatura universal,-1
Tiempo de Mujeres II Hijas de una Nueva era,Carmen  korn,$ 55.000,Planeta,Literatura universal,-1
#AmigaDateCuenta presenta: #TuBarrioTeRespalda,Andonella y plaqueta,$ 59.000,Planeta,Actualidad,-1
#AmigaDateCuenta presenta: #TuBarrioTeRespalda,Andonella y plaqueta,$ 59.000,Planeta,Actualidad,-1
ISADORA MOON - SE METE EN UN LIO,Muncaster  harriet,$ 35.000,Penguin random house g.e. (españa),Infantiles,-1
ISADORA MOON - SE METE EN UN LIO,Muncaster  harriet,$ 35.000,Penguin random house g.e. (españa),Infantiles,-1
FUNDAMENTOS DE FILOSOFIA (NOBEL),Russell  bertrand,$ 32.000,Debols!llo,-1,-1
FUNDAMENTOS DE FILOSOFIA (NOBEL),Russell  bertrand,$ 32.000,Debols!llo,-1,-1
TU EN MI VIDA LOCA,Ponch  xime,$ 41.000,Altea,-1,-1
TU EN MI VIDA LOCA,Ponch  xime,$ 41.000,Altea,-1,-1
Volver la vista atras,Juan gabriel vásquez,$ 59.000,Alfaguara,Literatura contemporánea,3 opiniones
Volver la vista atras,Juan gabriel vásquez,$ 59.000,Alfaguara,Literatura contemporánea,3 opiniones
Gambito de Dama,Walter tevis,$ 49.000,Alfaguara,Libros de literatura,3 opiniones
Gambito de Dama,Walter tevis,$ 49.000,Alfaguara,Libros de literatura,3 opiniones
Como no ser una Adolescente Desastrosa ,Luisa maria  lulu 99,$ 41.000,Blok,Juvenil,87 opiniones
Como no ser una Adolescente Desastrosa ,Luisa maria  lulu 99,$ 41.000,Blok,Juvenil,87 opiniones
Yo soy Sofia Castro,Castro  sofía,$ 43.000,Montena,-1,82 opiniones
Yo soy Sofia Castro,Castro  sofía,$ 43.000,Montena,-1,82 opiniones
ALARGA TU ESPERANZA DE VIDA,Sinclair  david,$ 52.000,Grijalbo,-1,-1
ALARGA TU ESPERANZA DE VIDA,Sinclair  david,$ 52.000,Grijalbo,-1,-1
EL EXTRANJERO,Camus  albert,$ 40.000,Literatura random house,Novela,-1
EL EXTRANJERO,Camus  albert,$ 40.000,Literatura random house,Novela,-1
Un Buen Rato,Jana aston,$ 69.000,Chic,Undefined,-1
Un Buen Rato,Jana aston,$ 69.000,Chic,Undefined,-1
SOÑEMOS JUNTOS,Papa francisco,$ 39.000,Plaza & janes,-1,8 opiniones
SOÑEMOS JUNTOS,Papa francisco,$ 39.000,Plaza & janes,-1,8 opiniones
7 ESTRATEGIAS PARA ALCANZAR LA RIQUEZA Y FELICIDAD,Rohn  jim,$ 43.000,Taller del exito,Negocios,-1
7 ESTRATEGIAS PARA ALCANZAR LA RIQUEZA Y FELICIDAD,Rohn  jim,$ 43.000,Taller del exito,Negocios,-1
La biología del presente,Sergi torres,$ 45.000,Diana,Autoayuda,1 opiniones
La biología del presente,Sergi torres,$ 45.000,Diana,Autoayuda,1 opiniones
CONSTRUYENDO SOBRE CIMIENTOS FIRMES,Lidow  derek,$ 51.000,Taller del exito,-1,-1
CONSTRUYENDO SOBRE CIMIENTOS FIRMES,Lidow  derek,$ 51.000,Taller del exito,-1,-1
Cumbiana,Varios autores,$ 52.000,Planeta,Música folclórica y tradicional,6 opiniones
Cumbiana,Varios autores,$ 52.000,Planeta,Música folclórica y tradicional,6 opiniones
Mujeres del Alma mía,Isabel allende,$ 45.000,Penguin random house,Latinoamericana,27 opiniones
Mujeres del Alma mía,Isabel allende,$ 45.000,Penguin random house,Latinoamericana,27 opiniones
El Club del Crimen de los Jueves,Richard osman,$ 54.000,Espasa,-1,1 opiniones
El Club del Crimen de los Jueves,Richard osman,$ 54.000,Espasa,-1,1 opiniones
LA CAIDA (NOBEL),Camus  albert,$ 32.000,Debols!llo,-1,-1
LA CAIDA (NOBEL),Camus  albert,$ 32.000,Debols!llo,-1,-1
THE PROM,Saundra mitchell / matthew sklar / chad beguelin /bob martin,$ 42.000,Nube de tinta,-1,-1
THE PROM,Saundra mitchell / matthew sklar / chad beguelin /bob martin,$ 42.000,Nube de tinta,-1,-1
Cambiemos de vía,Edgar morin,$ 42.000,Paidos,Filosofía,-1
Cambiemos de vía,Edgar morin,$ 42.000,Paidos,Filosofía,-1
La Gemela,Natasha preston,$ 49.000,Grupo planeta,Juvenil,-1
La Gemela,Natasha preston,$ 49.000,Grupo planeta,Juvenil,-1
Astropoets: Tu Guia del Zodiaco,Dimitrov  alex; lasky  dorothea,$ 41.000,Penguin random house g.e. (españa),No ficción,1 opiniones
Astropoets: Tu Guia del Zodiaco,Dimitrov  alex; lasky  dorothea,$ 41.000,Penguin random house g.e. (españa),No ficción,1 opiniones
Siete Días de Pasión,Olga lucia morales burgos,$ 45.000,Esencia,Erótica,-1
Siete Días de Pasión,Olga lucia morales burgos,$ 45.000,Esencia,Erótica,-1
La casa infernal,Richard matheson,$ 55.000,Minotauro,Terror,-1
La casa infernal,Richard matheson,$ 55.000,Minotauro,Terror,-1
VIDA DESPUES DE LA MUERTE,Cruz niño  esteban,$ 45.000,Ediciones b,No ficción,33 opiniones
VIDA DESPUES DE LA MUERTE,Cruz niño  esteban,$ 45.000,Ediciones b,No ficción,33 opiniones
Aquitania,Eva garcía sáenz de urturi,$ 49.000,Planeta,Novela histórica,2 opiniones
Aquitania,Eva garcía sáenz de urturi,$ 49.000,Planeta,Novela histórica,2 opiniones
¿Por qué Todos Saben Inglés Menos yo?,Alejo lopera,$ 31.200,Grupo sin fronteras sas,Idiomas,42 opiniones
¿Por qué Todos Saben Inglés Menos yo?,Alejo lopera,$ 31.200,Grupo sin fronteras sas,Idiomas,42 opiniones
ALGUNA VEZ ESTUVE MUERTO,Quiroz  fernando,$ 40.000,Alfaguara,-1,-1
ALGUNA VEZ ESTUVE MUERTO,Quiroz  fernando,$ 40.000,Alfaguara,-1,-1
LAS INSEPARABLES,De beauvoir  simone,$ 45.000,Lumen,-1,-1
LAS INSEPARABLES,De beauvoir  simone,$ 45.000,Lumen,-1,-1
Mindfulness Para Líderes,Audrey tang,$ 45.000,Paidos,Empresa,-1
Mindfulness Para Líderes,Audrey tang,$ 45.000,Paidos,Empresa,-1
EL HOMBRE QUE NO FUE JUEVES,Constaín  juan esteban,$ 35.000,Debols!llo,-1,-1
EL HOMBRE QUE NO FUE JUEVES,Constaín  juan esteban,$ 35.000,Debols!llo,-1,-1
Coronavirus: Diez especulaciones sobre el futuro,Varios autores,$ 49.000,Planeta,-1,-1
Coronavirus: Diez especulaciones sobre el futuro,Varios autores,$ 49.000,Planeta,-1,-1
Bebés que comen,Dra. yesica castillo,$ 49.000,Critica,-1,2 opiniones
Bebés que comen,Dra. yesica castillo,$ 49.000,Critica,-1,2 opiniones
LA CIUDAD DE VAPOR,Carlos ruiz zafón,$ 49.000,Planeta,Novela contemporánea,17 opiniones
LA CIUDAD DE VAPOR,Carlos ruiz zafón,$ 49.000,Planeta,Novela contemporánea,17 opiniones
Nuez de Brasil,Gidalti jr,$ 49.000,Planeta comic,Undefined,-1
Nuez de Brasil,Gidalti jr,$ 49.000,Planeta comic,Undefined,-1
Arsene Lupin. Caballero y Ladrón.,Maurice-marie-émile leblanc,$ 25.000,Blanco & negro,-1,5 opiniones
Arsene Lupin. Caballero y Ladrón.,Maurice-marie-émile leblanc,$ 25.000,Blanco & negro,-1,5 opiniones
El Milagro Metabolico,Carlos jaramillo,$ 49.000,Planeta,Nutrición,394 opiniones
El Milagro Metabolico,Carlos jaramillo,$ 49.000,Planeta,Nutrición,394 opiniones
Conversaciones con Dios 1,Neale donald walsch,$ 36.000,Penguin random house,Espiritualidad,48 opiniones
Conversaciones con Dios 1,Neale donald walsch,$ 36.000,Penguin random house,Espiritualidad,48 opiniones
Inteligencia Emocional  la,Daniel goleman,$ 39.000,B de bolsillo,Libros de superación personal,96 opiniones
Inteligencia Emocional  la,Daniel goleman,$ 39.000,B de bolsillo,Libros de superación personal,96 opiniones
El Psicoanalista,John katzenbach,$ 41.000,Penguin random house,Libros de literatura,74 opiniones
El Psicoanalista,John katzenbach,$ 41.000,Penguin random house,Libros de literatura,74 opiniones
Harry Potter y la Piedra Filosofal (Harry Potter 1) ,J. k. rowling,$ 39.000,Penguin random house,Libros de literatura,62 opiniones
Harry Potter y la Piedra Filosofal (Harry Potter 1) ,J. k. rowling,$ 39.000,Penguin random house,Libros de literatura,62 opiniones
Se Regalan Dudas,Ashley frangie,$ 45.000,Grijalbo,Espiritualidad,1 opiniones
Se Regalan Dudas,Ashley frangie,$ 45.000,Grijalbo,Espiritualidad,1 opiniones
Delirio,Laura restrepo,$ 39.000,Debolsillo,Latinoamericana,19 opiniones
Delirio,Laura restrepo,$ 39.000,Debolsillo,Latinoamericana,19 opiniones
El Amor en los Tiempos del Colera,Gabriel garcía márquez,$ 36.000,Penguin random house,Libros de literatura,78 opiniones
El Amor en los Tiempos del Colera,Gabriel garcía márquez,$ 36.000,Penguin random house,Libros de literatura,78 opiniones
Orgullo y Prejuicio,Jane austen,$ 46.000,Penguin random house,Narrativa histórica,50 opiniones
Orgullo y Prejuicio,Jane austen,$ 46.000,Penguin random house,Narrativa histórica,50 opiniones
Como Evitar un Desastre Climatico,Bill gates,$ 52.000,Penguin random house,Ecología y medio ambiente,-1
Como Evitar un Desastre Climatico,Bill gates,$ 52.000,Penguin random house,Ecología y medio ambiente,-1
Harry Potter 2 y la Camara Secreta,J.k rowling,$ 39.000,Salamandra de bolsillo,Libros de literatura,39 opiniones
Harry Potter 2 y la Camara Secreta,J.k rowling,$ 39.000,Salamandra de bolsillo,Libros de literatura,39 opiniones
Pensar Rápido  Pensar Despacio (Edición de Bolsillo ),Daniel kahneman,$ 44.000,Penguin random house,Temas varios,30 opiniones
Pensar Rápido  Pensar Despacio (Edición de Bolsillo ),Daniel kahneman,$ 44.000,Penguin random house,Temas varios,30 opiniones
Harry Potter 3 y el Prisionero de Azkaban,J. k. rowling,$ 41.000,Salamandra de bolsillo,Undefined,29 opiniones
Harry Potter 3 y el Prisionero de Azkaban,J. k. rowling,$ 41.000,Salamandra de bolsillo,Undefined,29 opiniones
El Club de las 5 de la Mañana. Controla tus Mañanas  Impulsa tu Vida,Robin sharma,$ 47.000,Penguin random house,Autoayuda y superación,153 opiniones
El Club de las 5 de la Mañana. Controla tus Mañanas  Impulsa tu Vida,Robin sharma,$ 47.000,Penguin random house,Autoayuda y superación,153 opiniones
